Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-02-23,bellabot,sv1000213943034,20:50:E7:23:56:70,Чайхана PLOV,2023-02-23 19:25:25,false,0.08,0.08,4
2023-02-23,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-23 12:58:14,false,0.53,0.46,22
2023-02-23,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-02-23 11:17:02,false,0.22,0.18,21
2023-02-23,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-22 17:50:53,false,6.65,1.02,57
2023-02-23,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-23 04:15:33,false,2.24,1.69,167
2023-02-23,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-22 21:54:55,false,2.58,1.33,164
2023-02-23,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-23 07:54:51,false,1.59,2.45,15
2023-02-23,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-23 10:28:09,false,2.03,1.72,126
2023-02-23,pudubot,PD9152213661013,20:50:E7:02:D2:28,Санаторий Заполярье,2023-02-23 07:51:49,false,2.64,0.57,4
2023-02-23,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-23 06:01:32,false,1.47,1.52,79
2023-02-23,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-23 09:02:52,false,0.45,0.36,15
2023-02-23,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-23 04:18:24,false,2.19,2.70,57
2023-02-23,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-23 11:12:26,false,0.29,0.33,17
2023-02-23,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-22 23:53:49,false,0.60,0.74,52
2023-02-23,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-23 02:58:53,false,3.52,1.78,58
2023-02-23,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-23 02:47:57,false,2.70,2.43,46
2023-02-23,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-02-23 01:22:21,false,0.13,0.11,10
2023-02-23,kettybot,PNT102213716165,20:50:E7:02:36:E0,Soft-servis,2023-02-23 09:28:48,false,0.02,0.02,2
2023-02-23,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-23 09:01:57,false,2.47,2.75,64
2023-02-23,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-22 23:30:33,false,0.99,0.84,76
2023-02-23,kettybot,PNT102213716159,20:50:E7:23:96:70,Динозаврия,2023-02-23 11:29:11,false,0.01,0.00,2
2023-02-23,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-23 00:06:52,false,0.39,0.38,32
2023-02-23,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-23 11:28:14,false,0.03,0.05,1
2023-02-23,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-23 09:43:41,false,0.77,0.78,30
2023-02-23,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-23 13:08:56,false,1.35,0.71,36
2023-02-22,bellabot,620019240060415,20:50:E7:02:24:2A,Parmesan,2023-02-22 13:31:23,false,0.98,0.67,56
